movie_id,rotten_tomatoes_link
9454,m/ever_after_a_cinderella_story
8688,m/snake_eyes
23954,m/atlantic_city
396,m/whos_afraid_of_virginia_woolf
16081,m/doctor_dolittle
11837,m/watership_down
11704,m/secret_of_nimh
11639,m/dark_crystal
4978,m/american_tail
11976,m/1012164-legend
11976,m/legend_2015
15144,m/sixteen_candles
8393,m/the-gods-must-be-crazy
9320,m/1083461-avengers
33644,m/how_stella_got_her_groove_back
805,m/rosemarys_baby
34584,m/the_neverending_story_1984
34636,m/the_neverending_story_ii_the_next_chapter_1990
77469,m/your_friends_and_neighbors
36647,m/1083484-blade
4011,m/beetlejuice
1580,m/rope
5854,m/family_plot
573,m/frenzy
2370,m/topaz
5780,m/torn_curtain
506,m/marnie
22527,m/1024191-wrong_man
574,m/the_man_who_knew_too_much
574,m/the_man_who_knew_too_much_1956
11219,m/the_trouble_with_harry
3682,m/54
847,m/willow
117,m/untouchables
11462,m/1020660-suspicion
10220,m/1083659-rounders
431,m/cube
22796,m/simon_birch
22256,m/without_limits
12626,m/broadcast_news
3525,m/working_girl
2321,m/married_to_the_mob
48311,m/parasite_1982
11933,m/nothing_but_trouble_1998
881,m/few_good_men
4478,m/indecent_proposal
2109,m/rush_hour
8195,m/ronin
9877,m/urban_legend
24016,m/sheltering_sky
1091,m/1021244-thing
1091,m/the_thing_2011
11337,m/stardust_memories
162,m/edward_scissorhands
8916,m/antz
9429,m/night_at_the_roxbury
12159,m/what_dreams_may_come
27791,m/strangeland
10377,m/my_cousin_vinny
4437,m/2010_the_year_we_make_contact
1955,m/1006527-elephant_man
11932,m/bride_of_chucky
6435,m/practical_magic
10683,m/1084175-happiness
9425,m/1083934-soldier
20701,m/tales_from_the_darkside_the_movie
73,m/american_history_x
46889,m/living_out_loud
3033,m/gods_and_monsters
9882,m/1085113-siege
10663,m/waterboy
4518,m/1084153-elizabeth
3600,m/i_still_know_what_you_did_last_summer
297,m/meet_joe_black
11893,m/runaway_train
9798,m/enemy_of_the_state
14444,m/rugrats_movie
9487,m/bugs_life
244,m/1011615-king_kong
244,m/1011617-king_kong
244,m/king_kong
10730,m/1011615-king_kong
10730,m/1011617-king_kong
10730,m/king_kong
8130,m/desperately_seeking_susan
9749,m/fletch
14628,m/fletch_lives
9626,m/1017352-red_sonja
10466,m/money_pit
707,m/view_to_a_kill
9336,m/police_academy
9447,m/babe_pig_in_the_city
12257,m/home_fries
37536,m/ringmaster
10029,m/very_bad_things
11252,m/1084964-psycho
11252,m/psycho
200,m/star_trek_insurrection
9837,m/prince_of_egypt
11545,m/rushmore
1934,m/shakespeare_in_love
13764,m/santa_claus_the_movie
1369,m/rambo-first-blood-part-ii
1368,m/first_blood
1370,m/rambo_iii
10303,m/jewel_of_the_nile
9326,m/romancing_the_stone
11285,m/cocoon_the_return
1367,m/rocky_ii
1371,m/rocky_iii
1374,m/rocky_iv
1375,m/rocky_v
15196,m/clue
1885,m/karate_kid
1885,m/karate_kid_2010
5825,m/national_lampoons_christmas_vacation
9489,m/youve_got_mail
8741,m/1084146-thin_red_line
9276,m/faculty
10312,m/patch_adams
9422,m/civil_action
31662,m/affliction
825,m/playing_by_heart
9423,m/1085867-virus
10658,m/howard_the_duck
11815,m/1007600-fly
11815,m/1007602-fly
9426,m/1007600-fly
9426,m/1007602-fly
2620,m/1001180-armed_and_dangerous
16337,m/texas_chainsaw_massacre_2
16780,m/texas_chainsaw_massacre_the_next_generation
10013,m/peggy_sue_got_married
9671,m/crocodile_dundee
11873,m/color_of_money
10015,m/heartbreak_ridge
10314,m/shes_all_that
11167,m/peeping_tom_1960
2112,m/1087648-payback
2112,m/payback_2012
16172,m/simply_irresistible
11622,m/blast_from_the_past
10207,m/message_in_a_bottle
9849,m/my_favorite_martian
18892,m/jawbreaker
1542,m/office_space
8224,m/8mm
8913,m/pet_sematary
8913,m/pet_sematary_2019
25748,m/children_of_the_corn_ii_the_final_sacrifice
10671,m/airport
27932,m/airport_1975
7227,m/airport_77
5919,m/towering_inferno
10803,m/logans_run
871,m/1016397-planet_of_the_apes
871,m/1108704-planet_of_the_apes
1685,m/beneath_the_planet_of_the_apes
1705,m/battle_for_the_planet_of_the_apes
1688,m/conquest_of_the_planet_of_the_apes
1687,m/escape_from_the_planet_of_the_apes
11123,m/earthquake
9535,m/analyze_this
9455,m/corruptor
796,m/cruel_intentions
100,m/lock_stock_and_two_smoking_barrels
30943,m/deep_end_of_the_ocean
7341,m/rage_carrie_2
9540,m/dead_ringers
22345,m/baby_geniuses
1641,m/forces_of_nature
47288,m/1011605-king_and_i
47288,m/1087348-king_and_i
16520,m/1011605-king_and_i
16520,m/1087348-king_and_i
16379,m/mod_squad
603,m/matrix
4951,m/10_things_i_hate_about_you
8970,m/1015758-outoftowners
8970,m/the_out_of_towners
11660,m/following
9430,m/1087053-go
11355,m/never_been_kissed
9465,m/cookies_fortune
6522,m/1086991-life
6522,m/life_2014
6522,m/life_2017
39964,m/lost_and_found_2019
1946,m/existenz
1844,m/entrapment
6552,m/idle_hands
3309,m/mildred_pierce
8592,m/1029314-dick_tracy
564,m/1014370-mummy
564,m/1014372-mummy
564,m/1087270-mummy
564,m/the_mummy_2017
13852,m/the_castle
4927,m/edge_of_seventeen
1893,m/star_wars_episode_i_the_phantom_menace
1924,m/superman_the_movie
8536,m/superman_ii
9531,m/superman_iii
11411,m/superman_iv_the_quest_for_peace
138,m/1006234-dracula
138,m/1006235-dracula
138,m/1006236-dracula
3035,m/1044391-frankenstein
3035,m/frankenstein_2015
36685,m/rocky_horror_picture_show
8974,m/the_war_of_the_worlds
509,m/notting_hill
1090,m/1089671-13th_floor
62676,m/limbo_1999
817,m/austin_powers_the_spy_who_shagged_me
37135,m/tarzan
37135,m/tarzan_2013
2275,m/generals_daughter
24137,m/1091577-ideal_husband
104,m/run_lola_run
9032,m/big_daddy
6488,m/arachnophobia
8487,m/wild_wild_west
2105,m/american_pie
10208,m/muppets_from_space
2667,m/blair_witch_project
345,m/eyes_wide_shut
9825,m/lake_placid
16158,m/wood
620,m/ghostbusters_2016
10490,m/drop_dead_gorgeous
11618,m/1009277-haunting
11618,m/1090789-haunting
1812,m/trick_2019
8914,m/1090759-deep_blue_sea
9824,m/mystery_men
4806,m/runaway_bride
967,m/1019544-spartacus
802,m/1012611-lolita
802,m/1084881-lolita
3175,m/barry_lyndon
10136,m/golden_child
873,m/color_purple
11416,m/1014027-mission
10776,m/1012515-little_shop_of_horrors
16406,m/1090805-dick
10386,m/iron_giant
745,m/sixth_sense
913,m/thomas_crown_affair
913,m/thomas_crown_affair_the
17707,m/brokedown_palace
9781,m/detroit_rock_city
48781,m/never_talk_to_strangers
29056,m/the_raven_2012
28501,m/1031984-pit_and_the_pendulum
813,m/airplane
11153,m/national_lampoons_vacation
2280,m/big
9944,m/pelican_brief
10342,m/teaching_mrs_tingle
10366,m/universal_soldier_the_return
22314,m/1092437-in_too_deep
1911,m/13th_warrior
2900,m/astronauts_wife
2162,m/chill_factor
14578,m/outside_providence
10307,m/stigmata
11601,m/stir_of_echoes
26522,m/soldiers_story
14,m/american_beauty
24128,m/stop_making_sense
11001,m/blue_streak
704,m/beatles_a_hard_days_night
24153,m/buddy_holly_story
11797,m/1007910-fright_night
11797,m/fright_night_2011
10669,m/deliverance
11527,m/excalibur
28032,m/1048880-thumbelina
11326,m/1021648-tommy
10398,m/1093614-double_jeopardy
60994,m/1093738-guinevere
14429,m/drive_me_crazy
15198,m/mystery_alaska
6415,m/three_kings
24066,m/happy_texas
10349,m/dark_half
9638,m/phantasm
10576,m/psycho_2
12618,m/random_hearts
226,m/boys_dont_cry
10388,m/limey
9346,m/1017641-risky_business
861,m/total_recall
861,m/total_recall_2012
9377,m/ferris_buellers_day_off
11541,m/year_of_living_dangerously
11901,m/high_plains_drifter
4929,m/hang_em_high
18254,m/reds
19997,m/niagara
17352,m/south_pacific
535,m/flashdance
1654,m/dirty_dozen
658,m/goldfinger
657,m/from_russia_with_love
646,m/dr_no
5689,m/blue_lagoon
8052,m/hard_eight
772,m/home_alone_2_lost_in_new_york
31650,m/someone_to_watch_over_me
550,m/fight_club
12220,m/story_of_us
36819,m/time_bandits
16162,m/1093551-best_man
5548,m/1017712-robocop
5548,m/1200731-robocop
5549,m/robocop_2
856,m/who_framed_roger_rabbit
699,m/for_your_eyes_only
709,m/licence_to_kill
253,m/live_and_let_die
660,m/thunderball
11377,m/1010034-house_on_haunted_hill
11377,m/1093881-house_on_haunted_hill
26149,m/music_of_the_heart
492,m/being_john_malkovich
108346,m/dreaming_of_joseph_lees
2020,m/1093976-bachelor
9481,m/bone_collector
9008,m/insider
16281,m/creepshow
16288,m/creepshow_2
1694,m/reanimator
476,m/drugstore_cowboy
37094,m/falling_down
21610,m/1015095-nighthawks
957,m/spaceballs
